File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
c_w.l,25.850233%,8285,96,7734,551,0,96
oled.o,12.405616%,3976,22,1242,2712,22,0
ebtn.o,6.458658%,2070,60,2070,0,0,60
btod.o,6.040562%,1936,0,1936,0,0,0
gd25qxx.o,5.497660%,1762,0,1762,0,0,0
_printf_fp_dec.o,3.288612%,1054,0,1054,0,0,0
gd32f4xx_dma.o,2.745710%,880,0,880,0,0,0
perf_counter.o,2.645866%,848,64,780,4,64,0
mcu_cimc_gd32f470vet6.o,2.583463%,828,284,824,0,4,280
_printf_fp_hex.o,2.502340%,802,0,764,38,0,0
system_gd32f4xx.o,2.177847%,698,4,694,0,4,0
gd32f4xx_usart.o,2.009360%,644,0,644,0,0,0
btn_app.o,1.759750%,564,196,354,14,196,0
gd32f4xx_i2c.o,1.547582%,496,0,496,0,0,0
startup_gd32f450_470.o,1.535101%,492,2048,64,428,0,2048
__printf_flags_ss_wp.o,1.276131%,409,0,392,17,0,0
gd32f4xx_rcu.o,1.248050%,400,0,400,0,0,0
bigflt0.o,1.173167%,376,0,228,148,0,0
main.o,1.035881%,332,0,332,0,0,0
lc_ctype_c.o,0.985959%,316,0,44,272,0,0
gd32f4xx_gpio.o,0.817473%,262,0,262,0,0,0
lludivv7m.o,0.742590%,238,0,238,0,0,0
gd32f4xx_misc.o,0.673947%,216,0,216,0,0,0
_printf_wctomb.o,0.611544%,196,0,188,8,0,0
_printf_hex_int_ll_ptr.o,0.586583%,188,0,148,40,0,0
_printf_intcommon.o,0.555382%,178,0,178,0,0,0
gd32f4xx_it.o,0.499220%,160,0,160,0,0,0
usart_app.o,0.480499%,154,258,152,0,2,256
perfc_port_default.o,0.480499%,154,0,154,0,0,0
systick.o,0.461778%,148,4,144,0,4,0
rt_memcpy_v6.o,0.430577%,138,0,138,0,0,0
lludiv10.o,0.430577%,138,0,138,0,0,0
strcmpv7m.o,0.399376%,128,0,128,0,0,0
_printf_fp_infnan.o,0.399376%,128,0,128,0,0,0
scheduler.o,0.399376%,128,28,100,0,28,0
_printf_longlong_dec.o,0.386895%,124,0,124,0,0,0
_printf_dec.o,0.374415%,120,0,120,0,0,0
_printf_oct_int_ll.o,0.349454%,112,0,112,0,0,0
gd32f4xx_spi.o,0.324493%,104,0,104,0,0,0
rt_memcpy_w.o,0.312012%,100,0,100,0,0,0
__dczerorl2.o,0.280811%,90,0,90,0,0,0
memcmp.o,0.274571%,88,0,88,0,0,0
_printf_str.o,0.255850%,82,0,82,0,0,0
rt_memclr_w.o,0.243370%,78,0,78,0,0,0
_printf_pad.o,0.243370%,78,0,78,0,0,0
sys_stackheap_outer.o,0.230889%,74,0,74,0,0,0
llsdiv.o,0.224649%,72,0,72,0,0,0
lc_numeric_c.o,0.224649%,72,0,44,28,0,0
rt_memclr.o,0.212168%,68,0,68,0,0,0
_wcrtomb.o,0.199688%,64,0,64,0,0,0
strlen.o,0.193448%,62,0,62,0,0,0
vsnprintf.o,0.162246%,52,0,52,0,0,0
__scatter.o,0.162246%,52,0,52,0,0,0
m_wm.l,0.149766%,48,0,48,0,0,0
fpclassify.o,0.149766%,48,0,48,0,0,0
_printf_char_common.o,0.149766%,48,0,48,0,0,0
_printf_wchar.o,0.137285%,44,0,44,0,0,0
_printf_char.o,0.137285%,44,0,44,0,0,0
__2sprintf.o,0.137285%,44,0,44,0,0,0
_printf_charcount.o,0.124805%,40,0,40,0,0,0
libinit2.o,0.118565%,38,0,38,0,0,0
init_aeabi.o,0.112324%,36,0,36,0,0,0
_printf_truncate.o,0.112324%,36,0,36,0,0,0
systick_wrapper_ual.o,0.099844%,32,0,32,0,0,0
__scatter_zi.o,0.087363%,28,0,28,0,0,0
fz_wm.l,0.056162%,18,0,18,0,0,0
exit.o,0.056162%,18,0,18,0,0,0
rt_ctype_table.o,0.049922%,16,0,16,0,0,0
aeabi_memset.o,0.049922%,16,0,16,0,0,0
_snputc.o,0.049922%,16,0,16,0,0,0
__printf_wp.o,0.043682%,14,0,14,0,0,0
sys_exit.o,0.037441%,12,0,12,0,0,0
__rtentry2.o,0.037441%,12,0,12,0,0,0
fpinit.o,0.031201%,10,0,10,0,0,0
rtexit2.o,0.031201%,10,0,10,0,0,0
_sputc.o,0.031201%,10,0,10,0,0,0
_printf_ll.o,0.031201%,10,0,10,0,0,0
_printf_l.o,0.031201%,10,0,10,0,0,0
rt_locale_intlibspace.o,0.024961%,8,0,8,0,0,0
libspace.o,0.024961%,8,96,8,0,0,96
__main.o,0.024961%,8,0,8,0,0,0
heapauxi.o,0.018721%,6,0,6,0,0,0
_printf_x.o,0.018721%,6,0,6,0,0,0
_printf_u.o,0.018721%,6,0,6,0,0,0
_printf_s.o,0.018721%,6,0,6,0,0,0
_printf_p.o,0.018721%,6,0,6,0,0,0
_printf_o.o,0.018721%,6,0,6,0,0,0
_printf_n.o,0.018721%,6,0,6,0,0,0
_printf_ls.o,0.018721%,6,0,6,0,0,0
_printf_llx.o,0.018721%,6,0,6,0,0,0
_printf_llu.o,0.018721%,6,0,6,0,0,0
_printf_llo.o,0.018721%,6,0,6,0,0,0
_printf_lli.o,0.018721%,6,0,6,0,0,0
_printf_lld.o,0.018721%,6,0,6,0,0,0
_printf_lc.o,0.018721%,6,0,6,0,0,0
_printf_i.o,0.018721%,6,0,6,0,0,0
_printf_g.o,0.018721%,6,0,6,0,0,0
_printf_f.o,0.018721%,6,0,6,0,0,0
_printf_e.o,0.018721%,6,0,6,0,0,0
_printf_d.o,0.018721%,6,0,6,0,0,0
_printf_c.o,0.018721%,6,0,6,0,0,0
_printf_a.o,0.018721%,6,0,6,0,0,0
__rtentry4.o,0.018721%,6,0,6,0,0,0
printf2.o,0.012480%,4,0,4,0,0,0
printf1.o,0.012480%,4,0,4,0,0,0
_printf_percent_end.o,0.012480%,4,0,4,0,0,0
use_no_semi.o,0.006240%,2,0,2,0,0,0
rtexit.o,0.006240%,2,0,2,0,0,0
libshutdown2.o,0.006240%,2,0,2,0,0,0
libshutdown.o,0.006240%,2,0,2,0,0,0
libinit.o,0.006240%,2,0,2,0,0,0
