File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,64.810127%,2048,492,64,428,0,2048
mcu_cimc_gd32f470vet6.o,8.987342%,284,828,824,0,4,280
usart_app.o,8.164557%,258,154,152,0,2,256
btn_app.o,6.202532%,196,564,354,14,196,0
c_w.l,3.037975%,96,8285,7734,551,0,96
libspace.o,3.037975%,96,8,8,0,0,96
perf_counter.o,2.025316%,64,848,780,4,64,0
ebtn.o,1.898734%,60,2070,2070,0,0,60
scheduler.o,0.886076%,28,128,100,0,28,0
oled.o,0.696203%,22,3976,1242,2712,22,0
systick.o,0.126582%,4,148,144,0,4,0
system_gd32f4xx.o,0.126582%,4,698,694,0,4,0
