File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
sdio_sdcard.o,11.400099%,7184,68,7148,0,36,32
ff.o,10.144881%,6393,6,6246,141,6,0
oled.o,6.856880%,4321,23,1586,2712,23,0
mcu_cimc_gd32f470vet6.o,5.769872%,3636,1132,3612,0,24,1108
mc_w.l,4.786010%,3016,4,3012,0,4,0
ota_uart.o,4.086199%,2575,36913,2574,0,1,36912
sd_app.o,3.875145%,2442,1452,2230,196,16,1436
printfa.o,3.716457%,2342,0,2342,0,0,0
proto_dispatch.o,3.637114%,2292,0,2292,0,0,0
ebtn.o,3.284828%,2070,60,2070,0,0,60
ccsbcs.o,2.139105%,1348,0,132,1216,0,0
gd32f4xx_dma.o,2.116889%,1334,0,1334,0,0,0
proto_frame.o,1.899487%,1197,0,1180,17,0,0
mf_w.l,1.751908%,1104,0,1104,0,0,0
sys_time.o,1.640827%,1034,0,998,36,0,0
sys_alarm.o,1.621785%,1022,6,1016,0,6,0
perf_counter.o,1.580526%,996,64,928,4,64,0
system_gd32f4xx.o,1.539267%,970,4,966,0,4,0
gd30ad3344.o,1.494835%,942,2,940,0,2,0
gd32f4xx_rtc.o,1.472618%,928,0,928,0,0,0
gd25qxx.o,1.437707%,906,0,906,0,0,0
gd32f4xx_rcu.o,1.377406%,868,0,868,0,0,0
gd32f4xx_usart.o,1.167939%,736,0,736,0,0,0
gd32f4xx_adc.o,1.117159%,704,0,704,0,0,0
gd32f4xx_sdio.o,1.028294%,648,0,648,0,0,0
gd32f4xx_timer.o,0.948950%,598,0,598,0,0,0
btn_app.o,0.907692%,572,196,362,14,196,0
sys_pt100.o,0.882302%,556,0,468,88,0,0
usart_app.o,0.822000%,518,518,512,0,6,512
main.o,0.818827%,516,0,516,0,0,0
gd32f4xx_i2c.o,0.802958%,506,0,506,0,0,0
gd32f4xx_fmc.o,0.768047%,484,0,484,0,0,0
sys_ota.o,0.750591%,473,17,456,0,17,0
startup_gd32f450_470.o,0.736309%,464,8192,36,428,0,8192
sys_sleep.o,0.669661%,422,8,414,0,8,0
gd32f4xx_it.o,0.644271%,406,0,406,0,0,0
ring_buffer.o,0.615707%,388,0,388,0,0,0
gd32f4xx_misc.o,0.539537%,340,0,340,0,0,0
dadd.o,0.530016%,334,0,334,0,0,0
sys_storage.o,0.528429%,333,1,332,0,1,0
diskio.o,0.501452%,316,0,316,0,0,0
gd32f4xx_pmu.o,0.495104%,312,16,312,0,0,16
gd32f4xx_gpio.o,0.418935%,264,0,264,0,0,0
gd32f4xx_dac.o,0.415761%,262,0,262,0,0,0
dmul.o,0.361807%,228,0,228,0,0,0
gd32f4xx_exti.o,0.355460%,224,0,224,0,0,0
ddiv.o,0.352286%,222,0,222,0,0,0
sys_report.o,0.333243%,210,12,198,0,12,0
sys_device.o,0.318962%,201,5,196,0,5,0
sys_param.o,0.304680%,192,16,176,0,16,0
oled_app.o,0.304680%,192,0,192,0,0,0
depilogue.o,0.295158%,186,0,186,0,0,0
perfc_port_default.o,0.288811%,182,0,182,0,0,0
scheduler.o,0.279290%,176,76,100,0,76,0
gd32f4xx_syscfg.o,0.272942%,172,0,172,0,0,0
systick.o,0.266595%,168,4,164,0,4,0
led_ctrl.o,0.184077%,116,0,116,0,0,0
gd32f4xx_spi.o,0.180904%,114,0,114,0,0,0
sys_sample.o,0.168209%,106,0,106,0,0,0
sys_baudrate.o,0.165035%,104,0,104,0,0,0
uldiv.o,0.155514%,98,0,98,0,0,0
ldiv.o,0.155514%,98,0,98,0,0,0
sys_dac.o,0.155514%,98,2,96,0,2,0
__dczerorl2.o,0.136471%,86,0,86,0,0,0
m_wm.l,0.092039%,58,0,58,0,0,0
sqrtf.o,0.092039%,58,0,58,0,0,0
proto_crc.o,0.092039%,58,0,58,0,0,0
dfixul.o,0.076170%,48,0,48,0,0,0
cdrcmple.o,0.076170%,48,0,48,0,0,0
uidiv.o,0.069822%,44,0,44,0,0,0
f2d.o,0.060301%,38,0,38,0,0,0
memseta.o,0.057127%,36,0,36,0,0,0
memcpya.o,0.057127%,36,0,36,0,0,0
llsshr.o,0.057127%,36,0,36,0,0,0
init.o,0.057127%,36,0,36,0,0,0
llushr.o,0.050780%,32,0,32,0,0,0
cpp_init.o,0.050780%,32,0,32,0,0,0
systick_wrapper_ual.o,0.050780%,32,0,32,0,0,0
llshl.o,0.047606%,30,0,30,0,0,0
handlers.o,0.047606%,30,0,30,0,0,0
memcmp.o,0.041259%,26,0,26,0,0,0
adc_app.o,0.038085%,24,0,24,0,0,0
errno.o,0.025390%,16,4,12,0,4,0
rtc_app.o,0.025390%,16,0,16,0,0,0
strlen.o,0.022216%,14,0,14,0,0,0
entry9a.o,0.012695%,8,0,8,0,0,0
entry2.o,0.012695%,8,0,8,0,0,0
entry8a.o,0.006347%,4,0,4,0,0,0
entry5.o,0.006347%,4,0,4,0,0,0
