File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
ota_uart.o,75.639847%,36913,2575,2574,0,1,36912
startup_gd32f450_470.o,16.786541%,8192,464,36,428,0,8192
sd_app.o,2.975349%,1452,2442,2230,196,16,1436
mcu_cimc_gd32f470vet6.o,2.319625%,1132,3636,3612,0,24,1108
usart_app.o,1.061454%,518,518,512,0,6,512
btn_app.o,0.401631%,196,572,362,14,196,0
scheduler.o,0.155735%,76,176,100,0,76,0
sdio_sdcard.o,0.139341%,68,7184,7148,0,36,32
perf_counter.o,0.131145%,64,996,928,4,64,0
ebtn.o,0.122948%,60,2070,2070,0,0,60
oled.o,0.047130%,23,4321,1586,2712,23,0
sys_ota.o,0.034835%,17,473,456,0,17,0
sys_param.o,0.032786%,16,192,176,0,16,0
gd32f4xx_pmu.o,0.032786%,16,312,312,0,0,16
sys_report.o,0.024590%,12,210,198,0,12,0
sys_sleep.o,0.016393%,8,422,414,0,8,0
sys_alarm.o,0.012295%,6,1022,1016,0,6,0
ff.o,0.012295%,6,6393,6246,141,6,0
sys_device.o,0.010246%,5,201,196,0,5,0
mc_w.l,0.008197%,4,3016,3012,0,4,0
errno.o,0.008197%,4,16,12,0,4,0
systick.o,0.008197%,4,168,164,0,4,0
system_gd32f4xx.o,0.008197%,4,970,966,0,4,0
sys_dac.o,0.004098%,2,98,96,0,2,0
gd30ad3344.o,0.004098%,2,942,940,0,2,0
sys_storage.o,0.002049%,1,333,332,0,1,0
